GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
1798,81,54,10,39,5.8,WSW,30.01,0,-9999,Mostly Cloudy,0,0,-999,80.5
1815,48.9,39,10,69,3.5,NE,30.23,0,0,Light Rain,1,0,-999,-9999
1828,59,39.9,10,49,4.6,South,30.15,0,-9999,Clear,0,0,-999,-9999
1875,42.1,15.1,10,34,5.8,SE,30.4,0,-9999,Overcast,0,0,38.4,-9999
1907,61,46,10,58,10.4,WSW,30.25,0,-9999,Mostly Cloudy,0,0,-999,-9999
5,75.9,50,10,40,5.8,ENE,30.12,0,-9999,Clear,0,0,-999,-9999
34,68,55.9,10,65,9.2,SSW,29.72,0,-9999,Scattered Clouds,0,0,-999,-9999
77,52,25,10,35,6.9,Variable,30.36,0,-9999,Clear,0,0,-999,-9999
91,60.1,39,10,46,5.8,South,30.13,0,-9999,Clear,0,0,-999,-9999
119,70,48,10,46,9.2,SE,30.19,0,-9999,Clear,0,0,-999,-9999
166,60.1,41,10,49,17.3,SSW,29.82,0,-9999,Scattered Clouds,0,0,-999,-9999
181,36,18,10,48,5.8,SSE,30.32,0,-9999,Clear,0,0,31.1,-9999
227,41,23,10,49,15,SW,29.83,0,-9999,Mostly Cloudy,0,0,33.1,-9999
269,84,55.9,10,38,5.8,Variable,30.14,0,-9999,Clear,0,0,-999,83
309,86,52,10,31,9.2,West,29.95,0,-9999,Clear,0,0,-999,-9999
347,55.4,37.4,10,51,12.7,North,30.11,0,-9999,Partly Cloudy,0,0,-999,-9999
370,42.1,35.1,10,76,0,North,30.01,0,-9999,Clear,0,0,-999,-9999
388,66,44.1,10,45,16.1,SSW,30.14,0,-9999,Clear,0,0,-999,-9999
452,30,19.9,10,66,8.1,West,30.15,0,-9999,Mostly Cloudy,0,0,22.4,-9999
478,28,19.9,5,72,15,NNW,30.11,0,0,Light Snow,0,1,16.5,-9999
520,75,57,10,53,4.6,South,29.95,0,-9999,Scattered Clouds,0,0,-999,-9999
529,59,35.6,10,42,11.5,NNW,30.15,0,-9999,Clear,0,0,-999,-9999
559,77,45,10,32,16.1,SW,29.82,0,-9999,Clear,0,0,-999,-9999
615,64.9,48.9,10,56,21.9,SSW,29.74,0,-9999,Overcast,0,0,-999,-9999
645,60.1,57.9,10,93,9.2,SSW,29.83,0,0,Light Rain,1,0,-999,-9999
677,37.9,15.1,10,39,0,North,30.55,0,-9999,Clear,0,0,-999,-9999
714,41,28,10,60,11.5,South,30.4,0,-9999,Clear,0,0,34.3,-9999
744,75.9,48,10,37,3.5,NW,30.12,0,-9999,Clear,0,0,-999,-9999
